iter	Logloss
0	0.6189118841
1	0.5613982877
2	0.5003726833
3	0.4567802906
4	0.4131251124
5	0.3778504112
6	0.3490480547
7	0.3297866136
8	0.312599152
9	0.2980306424
10	0.2830025229
11	0.2748239564
12	0.2644558974
13	0.2567505208
14	0.2504045433
15	0.2436705244
16	0.2380586021
17	0.2339424016
18	0.2290040462
19	0.2250317706
20	0.2215057747
21	0.2181445211
22	0.2145691787
23	0.2120847319
24	0.2104090578
25	0.2086658848
26	0.2056287071
27	0.2038838179
28	0.2021051871
29	0.1998056
30	0.1982459078
31	0.1974993745
32	0.1963746157
33	0.1953489604
34	0.1945996521
35	0.1939318546
36	0.1925819324
37	0.1911372049
38	0.1900172697
39	0.1895894521
40	0.1888786421
41	0.1884581604
42	0.1880934008
43	0.1869257286
44	0.1861053039
45	0.1855564104
46	0.185339733
47	0.1844931799
48	0.1837447137
49	0.183489636
50	0.183237605
51	0.1829760714
52	0.182604764
53	0.1823656536
54	0.1819681671
55	0.1816964953
56	0.181391174
57	0.180963085
58	0.1807674162
59	0.1805775741
60	0.1803450778
61	0.1801886071
62	0.1799480783
63	0.1796893091
64	0.1793752054
65	0.1789641278
66	0.1787889399
67	0.1782185612
68	0.1780631839
69	0.1778771549
70	0.1777163294
71	0.1775426438
72	0.1773320834
73	0.1770965021
74	0.1769576933
75	0.1767377869
76	0.1766024198
77	0.1763072842
78	0.1759095491
79	0.175717358
80	0.1755572196
81	0.1754905881
82	0.1753409714
83	0.1752094924
84	0.175000648
85	0.1748630657
86	0.1747625878
87	0.1745780328
88	0.1744315106
89	0.1743079716
90	0.1741726127
91	0.1740566491
92	0.1739326269
93	0.1735787388
94	0.1734018939
95	0.1732290132
96	0.1731148092
97	0.1728880999
98	0.1727093192
99	0.1726464486
100	0.1725146543
101	0.1723571878
102	0.1722470511
103	0.1721568447
104	0.1718477284
105	0.1716407524
106	0.171545802
107	0.1714988135
108	0.1713653291
109	0.1712560284
110	0.1711670498
111	0.1710866065
112	0.17101062
113	0.1709039825
114	0.1707983258
115	0.1707495413
116	0.1706887322
117	0.1704921841
118	0.1704399952
119	0.1703163509
120	0.1701828993
121	0.1700645719
122	0.1699547389
123	0.1698877205
124	0.1698033996
125	0.1695846594
126	0.1695175691
127	0.1693537298
128	0.1692695724
129	0.1691519573
130	0.1690768285
131	0.1688253373
132	0.168711673
133	0.1686098084
134	0.168510556
135	0.168403704
136	0.1682884215
137	0.1682007366
138	0.1681513034
139	0.1679849609
140	0.1678600648
141	0.1677780065
142	0.1677389928
143	0.1676356391
144	0.167558228
145	0.1675004589
146	0.1674191116
147	0.1672833909
148	0.1670917867
149	0.1670548504
150	0.166864112
151	0.1667135714
152	0.1666031646
153	0.1665679072
154	0.1665252946
155	0.1663808265
156	0.1663143067
157	0.1662394744
158	0.1661683962
159	0.1660927578
160	0.1660166267
161	0.1659182964
162	0.1658696252
163	0.1657887204
164	0.1657240324
165	0.1656338773
166	0.1655988383
167	0.1655010754
168	0.1654251646
169	0.1653841406
170	0.1653034717
171	0.1652752069
172	0.1652076088
173	0.1651541475
174	0.1650606011
175	0.1649846399
176	0.1649108188
177	0.1647991229
178	0.1647626897
179	0.1646035867
180	0.1644578562
181	0.1643663224
182	0.1642522349
183	0.1642093301
184	0.1641571759
185	0.1640922474
186	0.1640283973
187	0.1639979906
188	0.1638866983
189	0.1638329477
190	0.1637328533
191	0.1636645249
192	0.1635610977
193	0.1635268936
194	0.1634928115
195	0.1634164573
196	0.1633583337
197	0.1632830626
198	0.1632469937
