iter	Passed	Remaining
409	5042	7256
410	5054	7243
411	5066	7231
412	5077	7216
413	5090	7205
414	5101	7191
415	5113	7178
416	5124	7164
417	5135	7150
418	5145	7135
419	5157	7121
420	5169	7110
421	5182	7098
422	5195	7086
423	5206	7072
424	5231	7078
425	5244	7066
426	5257	7055
427	5271	7044
428	5282	7030
429	5294	7018
430	5305	7003
431	5316	6990
432	5329	6978
433	5340	6964
434	5351	6950
435	5361	6935
436	5373	6922
437	5385	6910
438	5397	6897
439	5409	6885
440	5421	6872
441	5433	6858
442	5443	6843
443	5453	6828
444	5480	6834
445	5505	6838
446	5530	6841
447	5545	6832
448	5559	6821
449	5572	6811
450	5588	6802
451	5602	6792
452	5617	6782
453	5631	6772
454	5646	6763
455	5660	6752
456	5673	6741
457	5691	6734
458	5704	6724
459	5719	6714
460	5737	6707
461	5756	6703
462	5774	6697
463	5789	6688
464	5805	6679
465	5820	6669
466	5835	6660
467	5849	6649
468	5861	6636
469	5874	6623
470	5887	6612
471	5900	6601
472	5916	6591
473	5928	6578
474	5942	6568
475	5955	6555
476	5967	6542
477	5980	6531
478	5993	6518
479	6004	6505
480	6016	6491
481	6026	6476
482	6038	6463
483	6051	6451
484	6063	6438
485	6073	6423
486	6084	6409
487	6096	6396
488	6108	6383
489	6120	6370
490	6132	6356
491	6144	6344
492	6155	6330
493	6166	6316
494	6178	6302
495	6190	6290
496	6202	6276
497	6214	6264
498	6225	6250
499	6236	6236
500	6248	6223
501	6260	6210
502	6271	6196
503	6282	6183
504	6293	6168
505	6306	6156
506	6318	6144
507	6330	6131
508	6340	6116
509	6353	6104
510	6364	6090
511	6376	6077
512	6386	6062
513	6396	6048
514	6411	6038
515	6423	6025
516	6434	6011
517	6446	5998
518	6459	5986
519	6472	5974
520	6483	5960
521	6495	5947
522	6507	5934
523	6518	5921
524	6529	5907
525	6540	5893
526	6552	5880
527	6563	5867
528	6576	5855
529	6586	5840
530	6596	5826
531	6607	5812
532	6618	5799
533	6630	5786
534	6641	5772
535	6652	5758
536	6663	5745
537	6675	5732
538	6686	5718
539	6701	5708
540	6714	5696
541	6725	5682
542	6736	5669
543	6747	5655
544	6759	5643
545	6770	5629
546	6781	5615
547	6791	5601
548	6805	5590
549	6817	5577
550	6829	5565
551	6840	5551
552	6850	5537
553	6862	5524
554	6875	5512
555	6886	5499
556	6896	5484
557	6908	5472
558	6919	5459
559	6931	5446
560	6943	5433
561	6955	5421
562	6967	5408
563	6980	5396
564	6992	5383
565	7002	5369
566	7013	5356
567	7025	5343
568	7038	5331
569	7049	5318
570	7061	5305
571	7072	5291
572	7084	5279
573	7096	5266
574	7107	5253
575	7119	5241
576	7131	5228
577	7143	5215
578	7154	5202
579	7166	5189
580	7190	5185
581	7202	5173
582	7213	5159
583	7222	5144
584	7234	5132
585	7246	5119
586	7257	5105
587	7272	5095
588	7285	5083
589	7298	5071
590	7310	5059
591	7323	5047
592	7335	5034
593	7347	5022
594	7359	5009
595	7370	4996
596	7381	4982
597	7394	4970
598	7406	4958
599	7418	4945
600	7430	4933
601	7442	4920
602	7453	4907
603	7464	4893
604	7475	4880
605	7486	4867
606	7498	4854
607	7509	4841
608	7519	4827
609	7529	4814
610	7541	4801
611	7553	4788
612	7565	4776
613	7576	4763
614	7588	4750
615	7599	4737
616	7611	4724
617	7622	4711
618	7633	4698
619	7645	4686
620	7657	4673
621	7668	4660
622	7679	4647
623	7690	4634
624	7703	4621
625	7719	4612
626	7732	4599
627	7743	4587
628	7755	4574
629	7767	4561
630	7778	4549
631	7789	4535
632	7801	4522
633	7812	4509
634	7823	4497
635	7833	4483
636	7846	4471
637	7860	4459
638	7872	4447
639	7883	4434
640	7899	4424
641	7914	4413
642	7928	4402
643	7942	4390
644	7958	4380
645	7970	4367
646	7982	4355
647	7993	4342
648	8004	4329
649	8017	4316
650	8028	4304
651	8038	4290
652	8048	4277
653	8060	4264
654	8072	4251
655	8083	4238
656	8094	4226
657	8105	4212
658	8117	4200
659	8128	4187
660	8139	4174
661	8151	4161
662	8163	4149
663	8175	4136
664	8186	4123
665	8196	4110
666	8207	4097
667	8219	4084
668	8229	4071
669	8239	4058
670	8250	4045
671	8263	4033
672	8274	4020
673	8285	4007
674	8295	3994
675	8306	3981
676	8317	3968
677	8329	3955
678	8338	3942
679	8349	3929
680	8361	3916
681	8373	3904
682	8385	3891
683	8396	3878
684	8408	3866
685	8419	3854
686	8431	3841
687	8442	3828
688	8452	3815
689	8465	3803
690	8477	3791
691	8488	3777
692	8498	3765
693	8508	3751
694	8520	3739
695	8532	3726
696	8543	3714
697	8555	3701
698	8565	3688
699	8578	3676
700	8589	3663
701	8601	3651
702	8610	3637
703	8622	3625
704	8636	3613
705	8650	3602
706	8661	3589
707	8673	3577
708	8685	3564
709	8695	3551
710	8708	3539
711	8719	3526
712	8732	3514
713	8743	3502
714	8754	3489
715	8764	3476
716	8775	3463
717	8786	3450
718	8796	3438
719	8808	3425
720	8818	3412
721	8828	3399
722	8839	3386
723	8853	3374
724	8863	3362
725	8875	3349
726	8888	3337
727	8899	3325
728	8911	3312
729	8922	3300
730	8935	3288
731	8946	3275
732	8958	3263
733	8970	3250
734	8982	3238
735	8993	3226
736	9003	3212
737	9015	3200
738	9027	3188
739	9038	3175
740	9050	3163
741	9060	3150
742	9070	3137
743	9082	3125
744	9094	3112
745	9105	3100
746	9116	3087
747	9127	3075
748	9138	3062
749	9150	3050
750	9161	3037
751	9171	3024
752	9184	3012
753	9195	3000
754	9207	2987
755	9219	2975
756	9229	2962
757	9240	2950
758	9251	2937
759	9263	2925
760	9272	2912
761	9283	2899
762	9296	2887
763	9306	2874
764	9317	2862
765	9328	2849
766	9340	2837
767	9353	2825
768	9365	2813
769	9378	2801
770	9391	2789
771	9405	2777
772	9416	2765
773	9428	2753
774	9439	2740
775	9451	2728
776	9462	2715
777	9473	2703
778	9484	2690
779	9495	2678
780	9507	2665
781	9518	2653
782	9528	2640
783	9540	2628
784	9552	2616
785	9562	2603
786	9573	2591
787	9585	2578
788	9597	2566
789	9609	2554
790	9620	2541
791	9631	2529
792	9641	2516
793	9654	2504
794	9665	2492
795	9676	2479
796	9687	2467
797	9699	2455
798	9712	2443
799	9721	2430
